VM Id,VM Name,Tenant Id,Tenant Name,Tenant External URL,Image Id,Image Owner Id,Image Name,Secured,Image Direct URL,Image Updated Days,VM Availability Zone,VM Updated Ago,VM IP Address,VM Host Id,VM User Id
09af40e1-cbbc-47ca-bd38-9a2152e2af43,mgdb-imcdev-npd3-1,0078be0257474092b960ba92d937098f,IMCDEV-NPD-RTP,https://cloud-rtp-1.cisco.com:5000/v3,6f7dd451-d885-4d2f-8e90-0a28fa9d0372,785634f33bad4c8caadbb9f5baa796c7,RHEL-7_4-MG,False,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/6f7dd451-d885-4d2f-8e90-0a28fa9d0372/snap,4 Days 13 Hours 20 Mins,cloud-rtp-1-c,153 Days 18 Hours 49 Mins,64.102.186.121,179e3ab323cae97b2e5622656514525f6df64039dfd9e7a0a3da1dd3,44e32f6c8d86cca0d0c9197930356e9882b0a5b6a09cb248aae5efb77ab92a7c
b1c7d672-e00d-4e4f-aa20-25baca62174f,test,03402c0a727e45bc839fe7243f1d54ff,Test,https://cloud-rtp-1.cisco.com:5000/v3,2ac77ffd-eec2-4709-80df-a233e05a0b6f,f8cdafc8861b4e0ab29362101c9c63ce,UBUNTU-18.04-CORE,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/2ac77ffd-eec2-4709-80df-a233e05a0b6f/snap,7 Days 20 Hours 50 Mins,cloud-rtp-1-c,0 Days 20 Hours 39 Mins,10.0.0.10,3994a29b22e719c4ba7a902240c10700226c383bed14a14b463c21e9,a0e9291a9e84907686e70c4ed1f450710a47656229cf5f9ef36eff80f32ef516
c340efa7-255f-4696-a508-f7fe22480c69,docker-0,05ce976d16494da584c7fc402736960e,CX Labs SOC API,https://cloud-rtp-1.cisco.com:5000/v3,e281ddb6-fcfd-47d8-a005-1ced2830db7c,05ce976d16494da584c7fc402736960e,Ubuntu Cloud 18.04 - Docker Base,False,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/e281ddb6-fcfd-47d8-a005-1ced2830db7c/snap,21 Days 18 Hours 46 Mins,cloud-rtp-1-c,2 Days 22 Hours 19 Mins,10.0.0.64,fc03b7852aba52f223a9b530c61c9338fafe586dd45c97fb5fd6fb1d,3f7a7bf271d7a87434c71d56beded0b2f373149c9334ecd8665b3f63dae31d1e
7976203d-40c4-41b6-a0a8-3ef30412bb00,docker-1,05ce976d16494da584c7fc402736960e,CX Labs SOC API,https://cloud-rtp-1.cisco.com:5000/v3,e281ddb6-fcfd-47d8-a005-1ced2830db7c,05ce976d16494da584c7fc402736960e,Ubuntu Cloud 18.04 - Docker Base,False,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/e281ddb6-fcfd-47d8-a005-1ced2830db7c/snap,21 Days 18 Hours 46 Mins,cloud-rtp-1-c,2 Days 22 Hours 19 Mins,10.0.0.65,fc03b7852aba52f223a9b530c61c9338fafe586dd45c97fb5fd6fb1d,3f7a7bf271d7a87434c71d56beded0b2f373149c9334ecd8665b3f63dae31d1e
dff8a851-5f13-4d8c-bf0e-8ed74cf6f3a3,docker-test-0,05ce976d16494da584c7fc402736960e,CX Labs SOC API,https://cloud-rtp-1.cisco.com:5000/v3,e281ddb6-fcfd-47d8-a005-1ced2830db7c,05ce976d16494da584c7fc402736960e,Ubuntu Cloud 18.04 - Docker Base,False,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/e281ddb6-fcfd-47d8-a005-1ced2830db7c/snap,21 Days 18 Hours 46 Mins,cloud-rtp-1-b,21 Days 17 Hours 54 Mins,10.0.0.15,786312efb0dddf5b74b1b45f28e88be9bf9fae3f39527a2b41dadcd9,3f7a7bf271d7a87434c71d56beded0b2f373149c9334ecd8665b3f63dae31d1e
2359a18b-e5b4-4a2a-bfee-1ee2b7138147,nodes-3-mauilion-k8s-local,07373bf58f6d4b16ab5a2ef8d6bc6bb9,SSO-POC-FIP-NET,https://cloud-rtp-1.cisco.com:5000/v3,bf9eb691-cf56-4065-a2d1-b7bff1cf24fc,f8cdafc8861b4e0ab29362101c9c63ce,UBUNTU-16.04-CORE,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/bf9eb691-cf56-4065-a2d1-b7bff1cf24fc/snap,292 Days 20 Hours 3 Mins,cloud-rtp-1-a,0 Days 21 Hours 18 Mins,10.1.0.9,ac7fdd9a0c47536c6ff5962de1fa69e77e327df3e6d85267f90b4a5c,2739a9f88aa7a5f450f803afaed0944f5630c24ee2849cf4dbc3c8db7edd845a
90f02f76-cfb4-41b0-9d6f-73fef5e8b7ce,nodes-5-mauilion-k8s-local,07373bf58f6d4b16ab5a2ef8d6bc6bb9,SSO-POC-FIP-NET,https://cloud-rtp-1.cisco.com:5000/v3,bf9eb691-cf56-4065-a2d1-b7bff1cf24fc,f8cdafc8861b4e0ab29362101c9c63ce,UBUNTU-16.04-CORE,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/bf9eb691-cf56-4065-a2d1-b7bff1cf24fc/snap,292 Days 20 Hours 3 Mins,cloud-rtp-1-c,0 Days 21 Hours 47 Mins,10.1.0.7,da5d4c58e46cf6e6bb1725e075693632e0a1e6539f45561da310e11c,2739a9f88aa7a5f450f803afaed0944f5630c24ee2849cf4dbc3c8db7edd845a
91065abf-e484-4052-a2ff-77602792c9ca,master-cloud-rtp-1-b-1-mauilion-k8s-local,07373bf58f6d4b16ab5a2ef8d6bc6bb9,SSO-POC-FIP-NET,https://cloud-rtp-1.cisco.com:5000/v3,bf9eb691-cf56-4065-a2d1-b7bff1cf24fc,f8cdafc8861b4e0ab29362101c9c63ce,UBUNTU-16.04-CORE,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/bf9eb691-cf56-4065-a2d1-b7bff1cf24fc/snap,292 Days 20 Hours 3 Mins,cloud-rtp-1-c,0 Days 21 Hours 47 Mins,10.1.0.6,cd1cc69a6a9de1f7e6f0935f2991e4b9306fff21fdc154eca647dc39,2739a9f88aa7a5f450f803afaed0944f5630c24ee2849cf4dbc3c8db7edd845a
bb1f25cd-5974-4df0-a23a-b471af3d4225,master-cloud-rtp-1-a-1-mauilion-k8s-local,07373bf58f6d4b16ab5a2ef8d6bc6bb9,SSO-POC-FIP-NET,https://cloud-rtp-1.cisco.com:5000/v3,bf9eb691-cf56-4065-a2d1-b7bff1cf24fc,f8cdafc8861b4e0ab29362101c9c63ce,UBUNTU-16.04-CORE,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/bf9eb691-cf56-4065-a2d1-b7bff1cf24fc/snap,292 Days 20 Hours 3 Mins,cloud-rtp-1-c,0 Days 21 Hours 47 Mins,10.1.0.10,cd1cc69a6a9de1f7e6f0935f2991e4b9306fff21fdc154eca647dc39,2739a9f88aa7a5f450f803afaed0944f5630c24ee2849cf4dbc3c8db7edd845a
205bddd4-8b8f-40eb-88dc-113fb96dfb4e,nodes-1-mauilion-k8s-local,07373bf58f6d4b16ab5a2ef8d6bc6bb9,SSO-POC-FIP-NET,https://cloud-rtp-1.cisco.com:5000/v3,bf9eb691-cf56-4065-a2d1-b7bff1cf24fc,f8cdafc8861b4e0ab29362101c9c63ce,UBUNTU-16.04-CORE,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/bf9eb691-cf56-4065-a2d1-b7bff1cf24fc/snap,292 Days 20 Hours 3 Mins,cloud-rtp-1-c,0 Days 21 Hours 47 Mins,10.1.0.2,da5d4c58e46cf6e6bb1725e075693632e0a1e6539f45561da310e11c,2739a9f88aa7a5f450f803afaed0944f5630c24ee2849cf4dbc3c8db7edd845a
